"stndr_name","iso3","date","country","lat_avg","lon_avg"
"Fernando Manta","CZS","1969-03-13","Czechoslovakia",50.0755,14.4378
"Gerardo Benjamin Paoloski","CZS","1969-03-13","Czechoslovakia",50.0755,14.4378
"Olga de Pose","CZS","1969-06-20","Czechoslovakia",50.0755,14.4378
"Edith Schonberger","CZS","1969-06-23","Czechoslovakia",50.0755,14.4378
"Victor Louis","SUN","1969-10-08","Soviet Union",60,100
"Iuri Jukov","SUN","1968-12-10","Soviet Union",60,100
"Victor Volski","SUN","1968-05-27","Soviet Union",60,100
"Galina Chesnokova","SUN","1968-05-02","Soviet Union",60,100
"Margarita Bilinkina","SUN","1968-08-12","Soviet Union",60,100
"Luis Batlle Ibañez","SUN","1968-08-18","Soviet Union",60,100
"Eugenio Darnet","SUN","1968-04-22","Soviet Union",60,100
"Kempis Vidal Beretervide","GDR","1968-06-04","German Democratic Republic",52.52,13.42
"Kempis Vidal Beretervide","SUN","1968-11-21","Soviet Union",60,100
"Guillermo Israel","GDR","1968-08-08","German Democratic Republic",52.52,13.42
"Guillermo Israel","SUN","1968-01-24","Soviet Union",60,100
"Yuri N. Loginov","SUN","1969-11-28","Soviet Union",60,100
"José Oria Arbide","GDR","1953-06-07","German Democratic Republic",52.52,13.42
"José Oria Arbide","GDR","1958-03-10","German Democratic Republic",52.52,13.42
"José Oria Arbide","GDR","1963-04-30","German Democratic Republic",52.52,13.42
"Gerardo Kortch","GDR","1953-08-20","German Democratic Republic",52.52,13.42
"Emilio Senftsleben","GDR","1953-09-11","German Democratic Republic",52.52,13.42
"Sieglinde Ackerman","GDR","1963-04-30","German Democratic Republic",52.52,13.42
"Maria Danilevich","SUN","1969-08-01","Soviet Union",60,100
"Yuri Daskevich","SUN","1969-08-12","Soviet Union",60,100
"Vitali Jaritonov","SUN","1969-07-13","Soviet Union",60,100
"Ronel Iriarte","SUN","1970-02-08","Soviet Union",60,100
"Serge Mikoian","SUN","1970-04-15","Soviet Union",60,100
"Julio Garret Ayllon","SUN","1970-04-16","Soviet Union",60,100
"Alexandr Liashko","SUN","1970-04-16","Soviet Union",60,100
"Walter Luis Achugar Ferrari","CZS","1968-02-11","Czechoslovakia",50.0755,14.4378
"Luis Carlos Turiansky Valdymersky","CZS","1970-04-05","Czechoslovakia",50.0755,14.4378
"Ricardo Mario Acosta Baladon","CZS","1970-04-20","Czechoslovakia",50.0755,14.4378
"Rodney Arismendi","CZS","1970-04-15","Czechoslovakia",50.0755,14.4378
"Juan Efrain Morel","CZS","1970-04-15","Czechoslovakia",50.0755,14.4378
"Emilio Roa Espinoza","CZS","1970-04-15","Czechoslovakia",50.0755,14.4378
"Lorenzo Homar","PRI","1970-01-26","Puerto Rico",18.2208,-66.5901
"Livio Abramo","PRI","1970-01-27","Puerto Rico",18.2208,-66.5901
"Amaral","PRI","1970-01-07","Puerto Rico",18.2208,-66.5901
